x,y,z
-8.81686,13.6063,-148.21
-8.81686,13.6063,-148.21
-8.81273,13.606,-148.209
-8.81414,13.6093,-148.209
-8.81414,13.6093,-148.209
-8.81414,13.6093,-148.209
-8.81414,13.6093,-148.209
-8.81682,13.6118,-148.208
-8.81682,13.6118,-148.208
-8.81396,13.6068,-148.202
-8.81396,13.6068,-148.202
-8.81239,13.6116,-148.208
-8.81498,13.6145,-148.207
-8.81498,13.6145,-148.207
-9.82707,8.60847,-142.105
-9.82784,8.60862,-142.104
-11.698,15.0586,-146.569
-11.698,15.0586,-146.569
-11.698,15.0586,-146.569
-11.6995,15.0597,-146.565
-11.6984,15.061,-146.567
-12.4937,12.7769,-143.458
-12.4936,12.7779,-143.457
-10.4191,8.64342,-141.388
-10.4191,8.64342,-141.388
-10.42,8.64836,-141.389
-10.4208,8.64964,-141.389
-10.4212,8.64401,-141.382
-11.0008,14.9413,-147.066
-11.0014,14.9427,-147.065
-12.4476,14.2524,-144.797
-12.4479,14.2531,-144.795
-12.7272,11.9278,-142.016
-12.7266,11.9312,-142.019
-12.7266,11.9312,-142.019
-12.7208,11.9301,-142.019
-12.7277,11.9314,-142.013
-12.718,11.9272,-142.018
-12.7174,11.9325,-142.016
-13.5597,9.54772,-138.735
-13.5623,9.54865,-138.729
-13.5623,9.54865,-138.729
-6.84271,10.6204,-146.6
-13.5639,9.54932,-138.724
-6.841,10.6248,-146.601
-6.841,10.6248,-146.601
-13.5581,9.55299,-138.727
-6.83255,10.6163,-146.596
-6.83095,10.6203,-146.6
-6.83095,10.6203,-146.6
-6.83095,10.6203,-146.6
-6.83212,10.6186,-146.592
-6.83212,10.6186,-146.592
-6.83095,10.6238,-146.596
-13.2727,9.24928,-138.688
-13.2738,9.24957,-138.685
-12.1258,14.9999,-145.623
-12.126,15.0012,-145.622
-12.9816,8.94975,-138.65
-12.9843,8.95049,-138.644
-12.9843,8.95049,-138.644
-12.9864,8.95053,-138.639
-12.9835,8.95716,-138.644
-12.9826,8.95761,-138.645
-10.1801,8.74527,-141.191
-10.1807,8.74563,-141.188
-8.12372,13.4857,-147.853
-8.12355,13.4885,-147.852
-11.5785,15.6616,-146.496
-11.5787,15.6629,-146.495
-12.5537,14.9425,-144.675
-12.5537,14.9425,-144.675
-12.5533,14.9451,-144.674
-12.5533,14.9438,-144.672
-12.5489,14.9433,-144.675
-12.5485,14.9419,-144.673
-12.4632,8.87798,-138.578
-12.4645,8.87809,-138.575
-7.97007,8.57259,-142.795
-7.96083,8.57056,-142.797
-7.95878,8.57281,-142.801
-7.96056,8.5706,-142.793
-7.96056,8.5706,-142.793
-7.96056,8.5706,-142.793
-7.95835,8.57507,-142.797
-7.96186,8.5771,-142.794
-7.95907,8.57348,-142.791
-13.6298,10.2763,-138.751
-12.3569,13.6812,-143.421
-12.3568,13.6832,-143.418
-12.3568,13.6832,-143.418
-9.9402,8.84654,-140.995
-12.351,13.6823,-143.418
-12.3511,13.6825,-143.418
-12.3519,13.6834,-143.418
-9.93998,8.84713,-140.993
-9.94148,8.8475,-140.991
-9.94148,8.8475,-140.991
-9.94148,8.8475,-140.991
-9.94299,8.84753,-140.989
-9.9414,8.84793,-140.988
-9.94255,8.85317,-140.992
-9.94287,8.84805,-140.986
-9.94287,8.84805,-140.986
-9.9411,8.85282,-140.992
-9.71901,8.9011,-140.91
-9.71972,8.9015,-140.907
-11.9412,8.80538,-138.514
-11.9434,8.80586,-138.508
-11.9434,8.80586,-138.508
-11.9459,8.8054,-138.503
-11.9436,8.80513,-138.503
-11.9453,8.81199,-138.507
-11.9423,8.81327,-138.509
-12.549,12.8667,-141.97
-12.5492,12.8673,-141.967
-11.4585,16.2666,-146.423
-11.4585,16.2666,-146.423
-11.4593,16.2673,-146.422
-11.4569,16.2679,-146.424
-11.4567,16.268,-146.419
-7.43423,13.3596,-147.497
-7.43881,13.3649,-147.491
-7.43264,13.3651,-147.496
-7.43264,13.3651,-147.496
-7.4362,13.3632,-147.489
-7.43692,13.3644,-147.49
-7.43692,13.3644,-147.49
-7.43355,13.3707,-147.495
-13.6962,11.0043,-138.777
-13.6985,11.0048,-138.771
-13.6985,11.0048,-138.771
-13.6966,11.0078,-138.774
-13.6899,11.0009,-138.769
-13.6893,11.0061,-138.768
-12.392,14.3234,-143.384
-12.392,14.3235,-143.383
-8.62761,14.9065,-147.696
-8.62891,14.908,-147.696
-9.49738,8.95523,-140.827
-9.49738,8.95523,-140.827
-9.49798,8.96002,-140.828
-9.49745,8.96023,-140.828
-9.49776,8.96077,-140.827
-9.49843,8.95584,-140.821
-10.746,16.2527,-146.836
-10.7449,16.2544,-146.836
-14.2917,9.23711,-136.183
-14.2937,9.23708,-136.178
-14.2937,9.23708,-136.178
-14.2944,9.23799,-136.175
-14.2872,9.23791,-136.176
-14.046,8.97148,-136.143
-14.0468,8.9716,-136.141
-13.7966,8.70626,-136.111
-13.7993,8.70592,-136.106
-13.7993,8.70592,-136.106
